postId,district,platform,content,sentiment,reach,timeStamp
S0435,Kamrup,News,"🚨 Outbreak alert! Many people in Kamrup are suffering from Hepatitis A, showing Nausea.",Negative,High,2025-09-17T16:00:26
S0436,Kamrup,Twitter,"🚨 Outbreak alert! Many people in Kamrup are suffering from Diarrhea, showing Dehydration.",Positive,Low,2025-09-03T03:59:26
S0437,West Khasi Hills,Twitter,Awareness camp in West Khasi Hills about preventing Typhoid.,Neutral,High,2025-09-19T02:19:26
S0438,Mokokchung,Forum,Shortage of Paracetamol reported in Mokokchung pharmacies.,Negative,Low,2025-09-22T22:57:26
S0439,Mokokchung,News,Is the water safe in Mokokchung? Many have symptoms like Stomach cramps.,Neutral,High,2025-09-21T17:21:26
S0440,Aizawl,Whatsapp,Rumors spreading on WhatsApp in Aizawl about unsafe drinking water.,Neutral,Medium,2025-09-18T05:18:26
S0441,Aizawl,Whatsapp,Is the water safe in Aizawl? Many have symptoms like Abdominal pain.,Negative,Medium,2025-09-01T13:34:26
S0442,West Khasi Hills,Facebook,Hospitals in West Khasi Hills are seeing more patients with Cholera.,Neutral,Low,2025-09-25T17:03:26
S0443,Jorhat,Forum,Is the water safe in Jorhat? Many have symptoms like Weakness.,Neutral,Medium,2025-09-19T15:05:26
S0444,Sonitpur,Forum,People in Sonitpur complaining about dirty water and cases of Cholera.,Negative,Medium,2025-09-17T01:54:26
S0445,Kohima,News,Rumors spreading on WhatsApp in Kohima about unsafe drinking water.,Negative,Medium,2025-09-17T01:06:26
S0446,Kamrup,Facebook,"🚨 Outbreak alert! Many people in Kamrup are suffering from Typhoid, showing Fever.",Neutral,High,2025-09-11T14:36:26
S0447,East Khasi Hills,Whatsapp,Rumors spreading on WhatsApp in East Khasi Hills about unsafe drinking water.,Positive,Low,2025-09-13T17:13:26
S0448,West Khasi Hills,Facebook,Rumors spreading on WhatsApp in West Khasi Hills about unsafe drinking water.,Positive,Medium,2025-09-19T14:40:26
S0449,Sonitpur,Facebook,Awareness camp in Sonitpur about preventing Typhoid.,Positive,Low,2025-09-14T10:28:26
S0450,Aizawl,Forum,Is the water safe in Aizawl? Many have symptoms like Headache.,Neutral,High,2025-09-23T17:13:26
S0451,Sonitpur,Facebook,Hospitals in Sonitpur are seeing more patients with Hepatitis A.,Negative,High,2025-09-15T17:07:26
S0452,East Khasi Hills,Twitter,Awareness camp in East Khasi Hills about preventing Typhoid.,Positive,Medium,2025-09-20T14:10:26
S0453,Sonitpur,Forum,Is the water safe in Sonitpur? Many have symptoms like Abdominal pain.,Neutral,High,2025-09-01T13:01:26
S0454,Cachar,Twitter,Is the water safe in Cachar? Many have symptoms like Abdominal pain.,Positive,Low,2025-08-31T02:57:26
S0455,Cachar,Facebook,People in Cachar complaining about dirty water and cases of Typhoid.,Positive,Medium,2025-08-30T14:55:26
S0456,Shillong,Whatsapp,Hospitals in Shillong are seeing more patients with Diarrhea.,Negative,Low,2025-09-15T14:32:26
S0457,Barpeta,Whatsapp,Hospitals in Barpeta are seeing more patients with Typhoid.,Neutral,Medium,2025-09-23T11:34:26
S0458,Sonitpur,Whatsapp,People in Sonitpur complaining about dirty water and cases of Typhoid.,Neutral,High,2025-09-07T08:15:26
S0459,West Khasi Hills,News,Awareness camp in West Khasi Hills about preventing Cholera.,Negative,High,2025-09-12T23:51:26
S0460,Imphal East,Forum,Hospitals in Imphal East are seeing more patients with Diarrhea.,Negative,Low,2025-08-31T13:13:26
S0461,Cachar,Whatsapp,Rumors spreading on WhatsApp in Cachar about unsafe drinking water.,Negative,Medium,2025-08-27T00:04:26
S0462,Aizawl,Whatsapp,Shortage of Electrolyte Powder reported in Aizawl pharmacies.,Negative,Low,2025-08-29T18:11:26
S0463,Sonitpur,Whatsapp,Rumors spreading on WhatsApp in Sonitpur about unsafe drinking water.,Negative,Low,2025-09-22T03:53:26
S0464,Sonitpur,News,Is the water safe in Sonitpur? Many have symptoms like Jaundice.,Positive,Low,2025-09-15T12:31:26
S0465,Shillong,Forum,Rumors spreading on WhatsApp in Shillong about unsafe drinking water.,Neutral,Low,2025-09-22T15:00:26
S0466,Imphal East,Facebook,Awareness camp in Imphal East about preventing Typhoid.,Neutral,Low,2025-09-24T08:45:26
S0467,West Khasi Hills,Whatsapp,Is the water safe in West Khasi Hills? Many have symptoms like Stomach cramps.,Positive,Medium,2025-09-07T16:32:26
S0468,Imphal East,Facebook,People in Imphal East complaining about dirty water and cases of Hepatitis A.,Neutral,Low,2025-09-12T07:07:26
S0469,Shillong,News,Hospitals in Shillong are seeing more patients with Cholera.,Neutral,Low,2025-09-12T10:17:26
S0470,Kohima,Facebook,Is the water safe in Kohima? Many have symptoms like Abdominal pain.,Negative,Low,2025-08-28T22:45:26
S0471,West Khasi Hills,Forum,People in West Khasi Hills complaining about dirty water and cases of Hepatitis A.,Neutral,Medium,2025-08-28T15:55:26
S0472,Kamrup,Twitter,"🚨 Outbreak alert! Many people in Kamrup are suffering from Hepatitis A, showing Jaundice.",Negative,Low,2025-09-12T18:59:26
S0473,Aizawl,Forum,Is the water safe in Aizawl? Many have symptoms like Jaundice.,Neutral,High,2025-09-21T16:58:26
S0474,Kamrup,Twitter,"🚨 Outbreak alert! Many people in Kamrup are suffering from Cholera, showing Muscle cramps.",Positive,Low,2025-08-29T00:50:26
S0475,Cachar,Facebook,Hospitals in Cachar are seeing more patients with Typhoid.,Negative,Low,2025-09-26T19:10:26
S0476,Aizawl,Forum,Is the water safe in Aizawl? Many have symptoms like Fever.,Neutral,High,2025-09-20T07:28:26
S0477,Ri-Bhoi,Twitter,Is the water safe in Ri-Bhoi? Many have symptoms like Dehydration.,Negative,High,2025-09-10T12:05:26
S0478,Kohima,Whatsapp,Hospitals in Kohima are seeing more patients with Diarrhea.,Neutral,Low,2025-08-29T22:42:26
S0479,East Khasi Hills,Twitter,Is the water safe in East Khasi Hills? Many have symptoms like Severe dehydration.,Negative,Medium,2025-09-13T02:44:26
S0480,Imphal East,Twitter,Rumors spreading on WhatsApp in Imphal East about unsafe drinking water.,Positive,High,2025-09-19T09:25:26
S0481,Mokokchung,News,People in Mokokchung complaining about dirty water and cases of Dysentery.,Neutral,Low,2025-09-05T00:53:26
S0482,Mokokchung,News,Shortage of Probiotics reported in Mokokchung pharmacies.,Neutral,Low,2025-09-25T14:01:26
S0483,Shillong,News,Awareness camp in Shillong about preventing Cholera.,Negative,Medium,2025-09-07T02:42:26
S0484,Shillong,Whatsapp,Rumors spreading on WhatsApp in Shillong about unsafe drinking water.,Positive,Medium,2025-09-09T01:02:26
S0485,Barpeta,Facebook,Is the water safe in Barpeta? Many have symptoms like Abdominal pain.,Negative,Medium,2025-08-29T11:44:26
S0486,Imphal East,News,Hospitals in Imphal East are seeing more patients with Cholera.,Positive,Medium,2025-09-09T09:58:26
S0487,Jorhat,Twitter,Awareness camp in Jorhat about preventing Dysentery.,Neutral,Low,2025-09-09T15:15:26
S0488,Jorhat,News,People in Jorhat complaining about dirty water and cases of Typhoid.,Positive,High,2025-09-16T14:21:26
S0489,Shillong,News,Rumors spreading on WhatsApp in Shillong about unsafe drinking water.,Positive,Medium,2025-08-29T20:15:26
S0490,Aizawl,Facebook,Hospitals in Aizawl are seeing more patients with Hepatitis A.,Neutral,High,2025-09-01T06:07:26
S0491,Ri-Bhoi,Facebook,Is the water safe in Ri-Bhoi? Many have symptoms like Loose stools.,Neutral,Low,2025-09-23T16:27:26
S0492,Shillong,Whatsapp,Is the water safe in Shillong? Many have symptoms like Vomiting.,Neutral,Low,2025-09-16T12:52:26
S0493,Jorhat,Facebook,Hospitals in Jorhat are seeing more patients with Hepatitis A.,Positive,Medium,2025-09-16T11:35:26
S0494,Imphal East,Forum,People in Imphal East complaining about dirty water and cases of Typhoid.,Negative,High,2025-09-02T02:40:26
S0495,Kamrup,Twitter,Awareness camp in Kamrup about preventing Typhoid.,Neutral,High,2025-09-21T21:16:26
S0496,Jorhat,Forum,Awareness camp in Jorhat about preventing Hepatitis A.,Positive,Medium,2025-09-11T14:49:26
S0497,West Khasi Hills,Forum,Rumors spreading on WhatsApp in West Khasi Hills about unsafe drinking water.,Positive,High,2025-09-18T12:22:26
S0498,Kohima,News,Is the water safe in Kohima? Many have symptoms like Loose stools.,Neutral,Medium,2025-09-22T03:09:26
S0499,Mokokchung,Whatsapp,People in Mokokchung complaining about dirty water and cases of Dysentery.,Negative,Low,2025-09-11T02:52:26
S0500,Dibrugarh,News,"🚨 Outbreak alert! Many people in Dibrugarh are suffering from Typhoid, showing Abdominal pain.",Neutral,High,2025-09-11T23:36:26
